address,cost,cuisine,lat,link,lng,phone,rating_number,rating_text,subzone,title,type,votes,groupon,color,cost_2,cuisine_color
" 371A Pitt Street, CBD, Sydney",50,"['Hot Pot', 'Korean BBQ', 'BBQ', 'Korean']",-33.8760586,https://www.zomato.com/sydney/sydney-madang-cbd,151.2076047,02 8318 0406,4,Very Good,CBD,Sydney Madang,['Casual Dining'],1311,FALSE,#e15307,5.243902439,#6f706b
" Shop 7A, 2 Huntley Street, Alexandria, Sydney",80,"['Cafe', 'Coffee and Tea', 'Salad', 'Poké']",-33.910999,https://www.zomato.com/sydney/the-grounds-of-alexandria-cafe-alexandria,151.1937928,02 9699 2225,4.6,Excellent,"The Grounds of Alexandria, Alexandria",The Grounds of Alexandria Cafe,['Café'],3236,FALSE,#9c3203,7.56097561,#6f706b
" Level G, The Darling at the Star, 80 Pyrmont Street, 	Pyrmont",120,['Japanese'],-33.8679708,https://www.zomato.com/sydney/sokyo-pyrmont,151.1952102,1800 700 700,4.9,Excellent,"The Star, Pyrmont",Sokyo,['Fine Dining'],1227,FALSE,#7f2704,10.6504065,#6f706b
" Sydney Opera House, Bennelong Point, Circular Quay, Sydney",270,['Modern Australian'],-33.8567844,https://www.zomato.com/sydney/bennelong-restaurant-circular-quay,151.2152967,02 9240 8000,4.9,Excellent,Circular Quay,Bennelong Restaurant,"['Fine Dining', 'Bar']",278,FALSE,#7f2704,22.23577236,#4186f4
" 20 Campbell Street, Chinatown, Sydney",55,"['Thai', 'Salad']",-33.879035,https://www.zomato.com/sydney/chat-thai-chinatown,151.2064086,02 8317 4811,4.5,Excellent,Chinatown,Chat Thai,['Casual Dining'],2150,FALSE,#a83703,5.630081301,#6f706b
" 46 Kensington Street, Chippendale, Sydney",150,"['Desserts', 'Modern Australian']",-33.8854746,https://www.zomato.com/sydney/koi-dessert-bar-chippendale,151.2019526,02 9212 1230,4.8,Excellent,"Kensington Street, Chippendale",KOI Dessert Bar,"['Casual Dining', 'Dessert Parlour']",575,FALSE,#892b04,12.96747967,#4186f4
" 3 Bridge Lane, CBD, Sydney",120,"['Cantonese', 'Chinese', 'Yum Cha']",-33.8640708,https://www.zomato.com/sydney/mr-wong-cbd,151.2080162,02 9114 7317,4.5,Excellent,"Establishment, CBD",Mr. Wong,['Casual Dining'],1623,FALSE,#a83703,10.6504065,#f45042
" 490 Crown Street, 	Surry Hills",100,['Japanese'],-33.8867358,https://www.zomato.com/sydney/toko-surry-hills,151.2140235,02 9357 6100,4.4,Very Good,Surry Hills,Toko,['Casual Dining'],1965,FALSE,#b53b02,9.105691057,#6f706b
" The Rocks Centre, 12 Argyle Street, The Rocks, Sydney",125,"['Japanese', 'Sushi']",-33.858937,https://www.zomato.com/sydney/saké-restaurant-bar-the-rocks,151.208318,02 9259 5656,4.3,Very Good,"The Rocks Centre, The Rocks ",Saké Restaurant & Bar,"['Fine Dining', 'Wine Bar']",1381,FALSE,#c14002,11.03658537,#6f706b
" Shop 5021, Level 5, Westfield Pitt Street Mall, 188 Pitt Street, CBD, Sydney",70,"['Japanese', 'Ramen']",-33.8704476,https://www.zomato.com/sydney/ippudo-cbd,151.2092878,02 8078 7020,4.5,Excellent,"Westfield Pitt Street Mall, CBD",Ippudo,['Casual Dining'],1840,FALSE,#a83703,6.788617886,#6f706b
